Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación:MOLLEPATA
,Departamento:LA,LIBERTAD,Provincia:SANTIAGO,DECHUCO,Distrito:MOLLEPATA
,Latitud:8°11'28.93'',Longitud:77°57'14.3'',Altitud:2708,msnm.
,Tipo:PE,-Meteorológica,Código:108046
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día),MAX,MIN,TOTAL
2022-02-01,21
,7.4,70.7,0.0
2022-02-02,21.5
,8.9,68.4,0.0
2022-02-03,22.4
,9.9,67.4,0.5
2022-02-04,21.3
,11.6,75.7,1.9
2022-02-05,21.7
,11,84.3,0.9
2022-02-06,21
,11.4,81.8,4.2
2022-02-07,16.3
,10,89.2,10.1
2022-02-08,18
,10.8,90.6,1.3
2022-02-09,17.4
,11.2,87.6,4.1
2022-02-10,17.9
,10.9,90.9,13.2
2022-02-11,17.5
,10.8,93.7,15.7
2022-02-12,18
,11.4,92.2,2.0
2022-02-13,19.6
,12,86.9,13.3
2022-02-14,20.9
,12.1,85.5,2.1
2022-02-15,15.7
,11.3,88.8,1.3
2022-02-16,20.9
,10.6,87.5,13.8
2022-02-17,20.2
,11,88.4,14.5
2022-02-18,17
,11.6,92.0,1.1
2022-02-19,21.3
,11.6,78.2,0.0
2022-02-20,20.5
,10.7,72.5,0.0
2022-02-21,20
,9.8,75.2,0.0
2022-02-22,19.8
,10.2,79.9,0.0
2022-02-23,17.6
,10.3,85.5,0.7
2022-02-24,20.2
,10.1,88.1,5.3
2022-02-25,19.7
,11.1,92.5,18.7
2022-02-26,15.9
,11.2,92.5,6.4
2022-02-27,18.2
,11.2,91.1,0.6
2022-02-28,18.2
,11.6,86.7,0.8
