Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación:MOLLEPATA
,Departamento:LA,LIBERTAD,Provincia:SANTIAGO,DECHUCO,Distrito:MOLLEPATA
,Latitud:8°11'28.93'',Longitud:77°57'14.3'',Altitud:2708,msnm.
,Tipo:PE,-Meteorológica,Código:108046
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día),MAX,MIN,TOTAL
2022-05-01,23.8
,10.4,71.7,0.0
2022-05-02,22.6
,9.1,72.3,0.0
2022-05-03,22.4
,9.8,73.5,0.0
2022-05-04,18.6
,10.3,84.1,4.5
2022-05-05,20.2
,10,85.5,2.2
2022-05-06,22.1
,9.4,76.1,0.0
2022-05-07,21.6
,9.8,75.2,0.0
2022-05-08,22.2
,9.8,73.6,0.0
2022-05-09,24.9
,10.3,65.4,0.0
2022-05-10,22.1
,9.7,71.8,0.0
2022-05-11,21.1
,10.2,75.7,1.1
2022-05-12,20.9
,11.4,76.3,2.1
2022-05-13,21.8
,11,75.2,0.0
2022-05-14,20.1
,10.8,72.1,0.0
2022-05-15,20.6
,9.6,78.0,1.6
2022-05-16,19.9
,S/D,S/D,1.4
2022-05-17,19.2
,10.1,83.7,1.3
2022-05-18,18.9
,9.6,84.2,0.0
2022-05-19,21.9
,9.7,75.9,0.0
2022-05-20,21.9
,9.1,72.9,0.0
2022-05-21,22.4
,9.8,75.3,0.8
2022-05-22,22
,S/D,S/D,0.0
2022-05-23,22.1
,9.1,70.1,0.0
2022-05-24,23.3
,9.4,63.3,0.0
2022-05-25,22.3
,9.5,62.5,0.0
2022-05-26,21.5
,10.6,69.1,0.6
2022-05-27,22.2
,9.7,55.8,0.2
2022-05-28,22.1
,9.7,67.9,0.0
2022-05-29,21
,9.4,64.3,0.4
2022-05-30,20.2
,8.8,65.2,0.0
2022-05-31,20.1
,7.7,67.2,0.0
