Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:TICAPAMPA
,Departamento:LA,LIBERTAD,Provincia:SANCHEZ,CARRION,Distrito:SARIN
,Latitud:7°54'59.07'',Longitud:77°54'5.33'',Altitud:2819,msnm.
,Tipo:EMA,-Meteorológica,Código:107130
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/07/01,00:00,12.3,0.0,70,115,0.0
2020/07/01,01:00,11.4,0.0,73,171,0.0
2020/07/01,02:00,11.0,0.0,75,149,0.1
2020/07/01,03:00,9.6,0.0,77,212,0.0
2020/07/01,04:00,8.6,0.0,79,195,0.0
2020/07/01,05:00,8.0,0.0,80,167,0.0
2020/07/01,06:00,7.4,0.0,79,183,0.0
2020/07/01,07:00,6.6,0.0,82,200,0.0
2020/07/01,08:00,7.2,0.0,81,118,1.7
2020/07/01,09:00,13.5,0.0,62,83,1.0
2020/07/01,10:00,17.9,0.0,51,318,1.6
2020/07/01,11:00,19.3,0.0,43,309,1.9
2020/07/01,12:00,22.1,0.0,33,351,2.4
2020/07/01,13:00,23.7,0.0,28,308,2.7
2020/07/01,14:00,24.3,0.0,26,318,2.5
2020/07/01,15:00,24.0,0.0,28,298,3.0
2020/07/01,16:00,24.0,0.0,28,295,2.9
2020/07/01,17:00,23.4,0.0,29,284,2.0
2020/07/01,18:00,19.8,0.0,34,307,0.0
2020/07/01,19:00,14.4,0.0,47,213,0.0
2020/07/01,20:00,12.2,0.0,53,159,0.1
2020/07/01,21:00,11.2,0.0,55,178,0.0
2020/07/01,22:00,10.4,0.0,59,160,0.0
2020/07/01,23:00,9.4,0.0,63,197,0.0
2020/07/02,00:00,8.8,0.0,66,216,0.0
2020/07/02,01:00,8.3,0.0,68,188,0.0
2020/07/02,02:00,7.7,0.0,71,191,0.0
2020/07/02,03:00,7.5,0.0,73,194,0.0
2020/07/02,04:00,7.2,0.0,74,264,0.0
2020/07/02,05:00,6.8,0.0,77,200,0.0
2020/07/02,06:00,6.4,0.0,78,162,0.0
2020/07/02,07:00,5.8,0.0,80,190,0.0
2020/07/02,08:00,6.5,0.0,76,115,0.7
2020/07/02,09:00,13.1,0.0,53,94,0.0
2020/07/02,10:00,17.9,0.0,44,320,1.8
2020/07/02,11:00,19.3,0.0,41,316,2.7
2020/07/02,12:00,20.8,0.0,36,320,2.5
2020/07/02,13:00,22.5,0.0,33,319,3.2
2020/07/02,14:00,23.7,0.0,32,302,2.6
2020/07/02,15:00,23.8,0.0,32,294,3.1
2020/07/02,16:00,22.5,0.0,34,291,2.8
2020/07/02,17:00,21.2,0.0,36,282,1.8
2020/07/02,18:00,19.5,0.0,39,286,0.0
2020/07/02,19:00,14.4,0.0,52,167,0.0
2020/07/02,20:00,12.1,0.0,59,186,0.0
2020/07/02,21:00,11.3,0.0,61,157,0.1
2020/07/02,22:00,11.1,0.0,62,173,0.0
2020/07/02,23:00,10.3,0.0,65,130,0.3
2020/07/03,00:00,10.3,0.0,67,186,0.0
2020/07/03,01:00,9.2,0.0,71,159,0.0
2020/07/03,02:00,8.7,0.0,74,191,0.0
2020/07/03,03:00,7.9,0.0,78,172,0.0
2020/07/03,04:00,7.7,0.0,78,213,0.0
2020/07/03,05:00,7.4,0.0,78,195,0.0
2020/07/03,06:00,7.3,0.0,77,187,0.0
2020/07/03,07:00,7.2,0.0,74,174,0.0
2020/07/03,08:00,8.8,0.0,69,95,0.0
2020/07/03,09:00,15.3,0.0,53,5,1.6
2020/07/03,10:00,18.1,0.0,46,19,2.0
2020/07/03,11:00,19.7,0.0,45,314,2.3
2020/07/03,12:00,19.0,0.0,44,304,2.7
2020/07/03,13:00,20.6,0.0,42,304,3.0
2020/07/03,14:00,21.7,0.0,41,302,3.3
2020/07/03,15:00,22.2,0.0,41,311,2.2
2020/07/03,16:00,24.1,0.0,37,323,2.2
2020/07/03,17:00,23.0,0.0,38,288,2.4
2020/07/03,18:00,19.9,0.0,44,319,0.4
2020/07/03,19:00,17.8,0.0,43,162,0.0
2020/07/03,20:00,15.8,0.0,49,186,0.0
2020/07/03,21:00,14.0,0.0,58,124,0.0
2020/07/03,22:00,12.7,0.0,70,300,1.3
2020/07/03,23:00,11.7,0.0,78,113,0.5
2020/07/04,00:00,9.4,0.0,87,262,0.0
2020/07/04,01:00,9.3,0.0,85,189,0.0
2020/07/04,02:00,8.8,0.0,83,165,0.0
2020/07/04,03:00,8.7,0.0,79,237,0.0
2020/07/04,04:00,7.4,0.0,84,144,0.0
2020/07/04,05:00,7.5,0.0,83,178,0.0
2020/07/04,06:00,9.5,0.0,76,214,0.0
2020/07/04,07:00,10.2,0.0,78,271,0.0
2020/07/04,08:00,11.5,0.0,75,150,0.0
2020/07/04,09:00,13.1,0.0,69,142,0.0
2020/07/04,10:00,14.7,0.0,63,356,0.0
2020/07/04,11:00,18.0,0.0,52,6,0.0
2020/07/04,12:00,20.0,0.0,48,293,2.4
2020/07/04,13:00,20.0,0.0,49,310,2.8
2020/07/04,14:00,21.8,0.0,45,302,3.0
2020/07/04,15:00,19.4,0.0,48,118,3.0
2020/07/04,16:00,15.1,0.2,61,170,0.0
