Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:TICAPAMPA
,Departamento:LA,LIBERTAD,Provincia:SANCHEZ,CARRION,Distrito:SARIN
,Latitud:7°54'59.07'',Longitud:77°54'5.33'',Altitud:2819,msnm.
,Tipo:EMA,-Meteorológica,Código:107130
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/02/01,00:00,8.2,0.0,59,197,0.0
2022/02/01,01:00,7.0,0.0,69,160,0.0
2022/02/01,02:00,6.4,0.0,69,182,0.0
2022/02/01,03:00,6.3,0.0,69,165,0.0
2022/02/01,04:00,5.5,0.0,75,196,0.0
2022/02/01,05:00,5.2,0.0,69,181,0.0
2022/02/01,06:00,4.6,0.0,68,210,0.0
2022/02/01,07:00,4.0,0.0,72,198,0.0
2022/02/01,08:00,8.0,0.0,56,109,1.8
2022/02/01,09:00,13.6,0.0,36,341,0.7
2022/02/01,10:00,16.2,0.0,36,356,1.7
2022/02/01,11:00,18.5,0.0,27,301,2.6
2022/02/01,12:00,20.3,0.0,26,307,2.8
2022/02/01,13:00,21.3,0.0,29,309,1.1
2022/02/01,14:00,22.4,0.0,27,300,2.7
2022/02/01,15:00,23.1,0.0,22,302,2.3
2022/02/01,16:00,23.2,0.0,25,324,2.0
2022/02/01,17:00,20.9,0.0,30,282,1.4
2022/02/01,18:00,18.9,0.0,38,276,1.3
2022/02/01,19:00,14.3,0.0,56,159,0.0
2022/02/01,20:00,12.1,0.0,64,199,0.0
2022/02/01,21:00,10.5,0.0,74,162,0.0
2022/02/01,22:00,10.1,0.0,74,163,0.0
2022/02/01,23:00,9.3,0.0,75,195,0.0
2022/02/02,00:00,9.2,0.0,77,181,0.0
2022/02/02,01:00,8.9,0.0,77,202,0.0
2022/02/02,02:00,8.2,0.0,81,180,0.0
2022/02/02,03:00,8.4,0.0,79,197,0.0
2022/02/02,04:00,9.3,0.0,82,159,0.0
2022/02/02,05:00,9.9,0.0,79,213,0.0
2022/02/02,06:00,10.1,0.0,81,136,0.0
2022/02/02,07:00,10.2,0.0,81,178,0.0
2022/02/02,08:00,11.7,0.0,77,152,0.0
2022/02/02,09:00,14.3,0.0,62,120,0.0
2022/02/02,10:00,16.1,0.0,53,313,2.3
2022/02/02,11:00,17.0,0.0,57,312,2.6
2022/02/02,12:00,17.1,0.0,57,294,2.7
2022/02/02,13:00,18.1,0.0,53,300,3.5
2022/02/02,14:00,18.6,0.0,51,291,2.8
2022/02/02,15:00,18.5,0.0,49,290,2.6
2022/02/02,16:00,19.0,0.0,47,302,1.6
2022/02/02,17:00,19.4,0.0,46,280,1.9
2022/02/02,18:00,18.0,0.0,49,272,1.7
2022/02/02,19:00,17.0,0.0,51,246,0.2
2022/02/02,20:00,14.9,0.0,64,273,0.0
2022/02/02,21:00,13.7,0.0,71,338,0.0
2022/02/02,22:00,13.2,0.0,74,151,0.0
2022/02/02,23:00,11.6,0.0,80,169,0.0
2022/02/03,00:00,12.1,0.0,80,139,0.0
2022/02/03,01:00,11.8,0.0,81,185,0.0
2022/02/03,02:00,11.6,0.0,83,167,0.0
2022/02/03,03:00,11.4,0.0,84,171,0.0
2022/02/03,04:00,11.0,0.0,85,219,0.0
2022/02/03,05:00,10.5,0.0,87,173,0.0
2022/02/03,06:00,9.2,0.0,93,178,0.0
2022/02/03,07:00,9.1,0.0,93,154,0.0
2022/02/03,08:00,10.5,0.0,90,125,0.0
2022/02/03,09:00,12.8,0.0,78,21,0.0
2022/02/03,10:00,15.2,0.0,69,308,1.8
2022/02/03,11:00,16.1,0.0,64,308,2.1
2022/02/03,12:00,18.2,0.0,53,296,2.9
2022/02/03,13:00,18.6,0.0,54,300,2.4
2022/02/03,14:00,19.6,0.0,51,302,3.5
2022/02/03,15:00,20.2,0.0,48,294,2.8
2022/02/03,16:00,21.3,0.0,43,301,2.4
2022/02/03,17:00,20.8,0.0,42,288,3.3
2022/02/03,18:00,18.3,0.0,49,109,5.7
2022/02/03,19:00,13.2,0.0,77,208,0.1
2022/02/03,20:00,12.2,0.0,87,151,0.1
2022/02/03,21:00,12.4,0.0,88,151,0.2
2022/02/03,22:00,12.3,S/D,S/D,S/D,S/D
2022/02/03,23:00,12.2,0.0,84,129,0.0
2022/02/04,00:00,12.3,0.0,84,215,0.0
2022/02/04,01:00,12.2,0.5,86,267,0.0
2022/02/04,02:00,11.2,0.1,95,168,0.0
2022/02/04,03:00,11.0,1.0,96,281,0.4
2022/02/04,04:00,10.4,4.7,94,190,0.0
2022/02/04,05:00,9.9,1.0,97,273,0.0
2022/02/04,06:00,10.0,0.0,98,169,0.0
2022/02/04,07:00,10.1,0.0,98,223,0.0
2022/02/04,08:00,10.9,0.0,97,148,0.0
2022/02/04,09:00,12.7,0.0,87,82,0.0
2022/02/04,10:00,16.4,0.0,61,314,1.8
2022/02/04,11:00,16.4,0.0,65,309,2.0
2022/02/04,12:00,17.4,0.0,57,297,2.0
2022/02/04,13:00,17.8,0.0,58,308,2.1
2022/02/04,14:00,17.7,0.0,60,295,1.2
2022/02/04,15:00,17.7,0.0,62,109,3.8
2022/02/04,16:00,17.6,0.0,62,121,1.9
2022/02/04,17:00,15.9,0.0,69,99,2.4
2022/02/04,18:00,12.4,1.3,88,167,0.4
2022/02/04,19:00,11.6,1.3,91,203,0.4
2022/02/04,20:00,11.1,0.5,95,251,0.0
2022/02/04,21:00,11.0,0.2,96,205,0.0
2022/02/04,22:00,10.9,0.0,97,217,0.0
2022/02/04,23:00,10.6,0.0,97,177,0.0
2022/02/05,00:00,10.7,0.0,97,143,0.0
2022/02/05,01:00,10.6,0.0,96,211,0.0
2022/02/05,02:00,10.6,0.0,96,170,0.0
2022/02/05,03:00,10.5,0.0,95,172,0.0
2022/02/05,04:00,10.5,0.0,95,155,0.0
2022/02/05,05:00,10.4,0.0,95,211,0.0
2022/02/05,06:00,10.2,0.0,96,164,0.0
2022/02/05,07:00,10.5,0.0,95,168,0.0
2022/02/05,08:00,12.1,0.0,88,278,0.0
2022/02/05,09:00,13.9,0.0,77,317,0.0
2022/02/05,10:00,15.9,0.0,69,346,1.7
2022/02/05,11:00,18.0,0.0,58,310,1.9
