Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:QUIRUVILCA
,Departamento:LA,LIBERTAD,Provincia:SANTIAGO,DECHUCO,Distrito:QUIRUVILCA
,Latitud:8°0'15.07'',Longitud:78°18'28.43'',Altitud:4047,msnm.
,Tipo:EMA,-Meteorológica,Código:4727319A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/10/01,00:00,5.1,0.0,100,60,0.2
2023/10/01,01:00,5.5,0.0,86,59,0.5
2023/10/01,02:00,5.1,0.0,96,79,0.3
2023/10/01,03:00,5.0,0.0,92,50,1.9
2023/10/01,04:00,5.2,0.0,86,62,3.3
2023/10/01,05:00,4.9,0.0,96,70,1.9
2023/10/01,06:00,4.5,0.0,94,64,1.9
2023/10/01,07:00,5.7,0.0,87,56,1.5
2023/10/01,08:00,7.1,0.0,72,76,2.2
2023/10/01,09:00,9.0,0.0,61,124,3.3
2023/10/01,10:00,10.4,0.0,58,126,1.7
2023/10/01,11:00,11.5,0.0,56,120,1.5
2023/10/01,12:00,10.8,0.0,66,83,0.8
2023/10/01,13:00,10.5,0.0,62,79,0.9
2023/10/01,14:00,11.7,0.0,61,65,1.0
2023/10/01,15:00,11.2,0.0,81,308,0.3
2023/10/01,16:00,9.9,0.0,81,282,2.2
2023/10/01,17:00,8.0,0.3,99,208,0.3
2023/10/01,18:00,7.5,0.0,100,162,0.2
2023/10/01,19:00,6.9,0.0,100,128,1.4
2023/10/01,20:00,6.1,0.0,100,125,2.3
2023/10/01,21:00,5.7,0.0,100,102,2.4
2023/10/01,22:00,5.7,0.0,100,61,2.6
2023/10/01,23:00,5.3,0.0,100,75,1.9
2023/10/02,00:00,6.0,0.0,100,66,1.7
2023/10/02,01:00,5.9,0.0,99,31,1.8
2023/10/02,02:00,5.7,0.0,100,51,1.3
2023/10/02,03:00,5.6,0.0,100,33,0.6
2023/10/02,04:00,5.2,0.0,100,28,0.9
2023/10/02,05:00,5.2,0.0,97,29,1.1
2023/10/02,06:00,5.0,0.0,98,49,2.1
2023/10/02,07:00,5.6,0.0,93,70,1.4
2023/10/02,08:00,9.0,0.0,71,120,1.0
2023/10/02,09:00,10.6,0.0,62,127,1.9
2023/10/02,10:00,12.3,0.0,51,130,1.9
2023/10/02,11:00,13.4,0.0,56,130,1.9
2023/10/02,12:00,11.6,1.6,90,299,0.4
2023/10/02,13:00,7.9,4.9,99,323,1.3
2023/10/02,14:00,7.5,0.3,99,320,1.3
2023/10/02,15:00,7.4,0.2,97,325,0.4
2023/10/02,16:00,7.2,2.1,100,328,0.3
2023/10/02,17:00,7.2,0.1,100,193,0.1
2023/10/02,18:00,7.0,0.0,100,251,0.3
2023/10/02,19:00,6.5,1.8,100,171,0.4
2023/10/02,21:00,5.9,1.7,100,149,0.1
2023/10/02,22:00,6.0,0.3,100,105,0.1
2023/10/02,23:00,6.0,0.8,100,106,1.5
2023/10/03,00:00,5.8,0.2,100,97,0.6
2023/10/03,01:00,6.0,0.0,100,126,0.1
2023/10/03,02:00,6.0,0.0,100,134,0.0
2023/10/03,03:00,5.8,0.1,100,125,0.3
2023/10/03,04:00,5.6,0.0,99,128,0.1
2023/10/03,05:00,5.6,0.0,97,118,0.0
2023/10/03,06:00,6.1,0.0,94,130,0.1
2023/10/03,07:00,6.2,0.0,94,119,0.2
2023/10/03,08:00,7.9,0.0,83,119,1.1
2023/10/03,09:00,9.9,0.0,69,133,0.6
2023/10/03,10:00,11.2,0.0,73,123,0.6
2023/10/03,11:00,10.6,0.0,76,322,1.1
2023/10/03,12:00,10.5,0.0,70,304,1.7
2023/10/03,13:00,10.6,0.3,82,101,0.9
