AÑO / MES / DÍA,TEMPERATURA (°C) MAX, TEMPERATURA (°C) MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2025-01-01,19.2,10.9,89.6,16.4
2025-01-02,16.3,10.8,92.1,19.8
2025-01-03,15.0,9.9,89.5,12.2
2025-01-04,19.8,10.4,83.6,6.5
2025-01-05,19.7,11.2,87.1,0.6
2025-01-06,18.6,11.4,86.2,1.8
2025-01-07,20.2,11.9,85.5,1.8
2025-01-08,17.6,11.8,90.1,1.1
2025-01-09,18.8,11.7,88.4,0.0
2025-01-10,19.8,11.5,88.0,0.0
2025-01-11,15.3,11.2,89.8,1.6
2025-01-12,21.7,11.6,82.0,0.0
2025-01-13,20.7,12.1,84.0,2.6
2025-01-14,21.3,11.0,81.8,0.0
2025-01-15,21.0,11.9,79.8,0.0
2025-01-16,19.3,9.0,86.7,0.2
2025-01-17,19.6,9.7,79.5,0.0
2025-01-18,20.3,9.0,84.0,3.2
2025-01-19,22.4,8.9,71.7,0.0
2025-01-20,21.6,9.3,71.4,0.0
2025-01-21,17.4,11.2,77.3,1.2
2025-01-22,20.6,10.8,79.0,1.4
2025-01-23,22.4,11.6,80.1,2.2
2025-01-24,21.1,11.4,76.8,0.3
2025-01-25,23.6,10.2,78.7,1.6
2025-01-26,23.6,10.9,81.5,0.7
2025-01-27,20.9,11.6,81.0,3.5
2025-01-28,20.6,11.3,87.4,2.8
2025-01-29,20.4,11.9,84.0,3.1
2025-01-30,22.6,12.0,80.7,0.8
2025-01-31,24.0,12.2,77.5,3.5
2025-02-01,22.0,12.3,84.3,4.0
2025-02-02,18.0,12.2,90.0,6.3
2025-02-03,16.9,11.4,91.2,7.5
2025-02-04,18.1,11.2,90.8,7.7
2025-02-05,17.2,11.7,92.8,11.0
2025-02-06,18.8,10.9,86.8,5.4
2025-02-07,19.4,11.7,87.9,4.4
2025-02-08,20.4,11.9,85.6,5.4
2025-02-09,22.1,11.7,86.5,4.3
2025-02-10,17.9,12.0,90.3,3.8
2025-02-11,19.2,11.0,88.8,8.6
2025-02-12,17.1,10.8,88.7,5.4
2025-02-13,21.2,10.9,85.2,6.4
2025-02-14,20.5,11.4,84.0,22.9
2025-02-15,20.8,11.2,86.4,1.3
2025-02-16,16.5,11.1,93.3,15.1
2025-02-17,15.6,11.0,92.7,6.6
2025-02-18,17.4,9.3,87.1,24.0
2025-02-19,18.8,9.8,88.9,5.1
2025-02-20,19.6,10.1,91.7,12.5
2025-02-21,20.2,11.6,88.2,8.4
2025-02-22,18.0,12.1,94.3,6.6
2025-02-23,19.6,11.7,91.1,11.8
2025-02-24,18.8,11.9,91.3,6.7
2025-02-25,19.8,12.2,86.6,0.2
2025-02-26,21.6,11.4,88.1,16.0
2025-02-27,20.1,10.9,86.6,2.8
2025-02-28,19.3,12.0,84.2,9.9
2025-03-01,16.8,11.6,92.8,16.4
2025-03-02,17.2,10.9,91.4,27.9
2025-03-03,16.1,11.3,92.2,2.0
2025-03-04,17.0,11.6,91.1,17.5
2025-03-05,18.7,10.5,83.4,6.8
2025-03-06,19.6,10.7,91.4,0.1
2025-03-07,19.5,9.3,90.6,0.0
2025-03-08,18.8,10.4,93.2,0.0
2025-03-09,19.9,10.0,91.9,0.0
2025-03-10,21.7,11.4,93.0,0.0
2025-03-11,18.8,11.1,89.6,0.0
2025-03-12,20.3,11.4,91.5,7.9
2025-03-13,20.2,11.6,93.0,12.6
2025-03-14,17.1,10.9,93.7,14.5
2025-03-15,16.2,11.1,93.4,13.4
2025-03-16,17.0,11.0,94.3,12.4
2025-03-17,19.8,11.3,93.8,7.2
2025-03-18,18.5,11.7,90.9,12.2
2025-03-19,20.2,11.2,93.6,13.8
2025-03-20,20.6,12.1,91.9,0.9
2025-03-21,22.0,11.9,90.0,1.5
2025-03-22,20.4,12.0,90.6,0.6
2025-03-23,21.6,12.3,86.7,0.5
2025-03-24,21.3,12.8,91.9,2.9
2025-03-25,21.2,11.8,90.8,1.5
2025-03-26,18.1,12.1,92.0,9.3
2025-03-27,19.2,11.8,91.7,3.5
2025-03-28,18.6,11.8,94.1,11.3
2025-03-29,17.0,11.9,93.9,8.4
2025-03-30,18.6,12.1,89.5,5.8
2025-03-31,18.2,11.8,92.8,5.4
2025-04-01,18.5,12.0,88.9,13.9
2025-04-02,20.0,11.2,90.0,4.5
2025-04-03,19.6,11.6,90.1,13.6
2025-04-04,19.4,11.9,92.1,3.3
2025-04-05,20.9,12.3,88.7,0.0
2025-04-06,19.8,11.9,90.8,0.0
2025-04-07,21.6,11.1,89.5,1.4
2025-04-08,22.6,11.8,87.6,0.0
2025-04-09,20.9,11.6,87.1,9.0
2025-04-10,20.7,12.2,92.1,3.9
2025-04-11,16.7,11.5,92.1,4.1
2025-04-12,19.2,10.3,85.9,5.9
2025-04-13,19.6,11.2,91.1,3.5
2025-04-14,21.7,11.1,87.8,2.2
2025-04-15,22.0,11.6,87.3,1.8
2025-04-16,21.5,11.1,87.6,2.5
2025-04-17,22.5,11.5,85.5,0.4
2025-04-18,21.3,11.7,89.8,0.5
2025-04-19,23.3,12.4,79.5,0.0
2025-04-20,18.4,10.8,81.7,1.2
2025-04-21,21.3,11.4,88.2,2.1
2025-04-22,18.6,11.6,85.0,0.3
2025-04-23,21.6,9.8,82.1,0.3
2025-04-24,20.4,10.6,86.0,0.2
2025-04-25,18.2,11.7,94.2,3.2
2025-04-26,19.6,10.4,87.4,0.5
2025-04-27,19.6,10.0,87.4,0.5
2025-04-28,19.2,11.6,86.0,0.0
2025-04-29,19.7,11.8,88.9,2.3
2025-04-30,20.1,11.2,88.0,7.1
