AÑO / MES / DÍA,TEMPERATURA (°C) MAX, TEMPERATURA (°C) MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2021-05-01,19.4,10.8,87.7,1.1
2021-05-02,20.9,11.1,76.3,0.0
2021-05-03,19.3,11.1,85.0,10.7
2021-05-04,19,9.3,78.9,0.0
2021-05-05,20.7,10.1,76.0,2.0
2021-05-06,20,10,80.5,2.4
2021-05-07,18.7,9.7,82.4,1.5
2021-05-08,21.5,10.2,75.2,0.0
2021-05-09,22.7,9.9,69.9,0.0
2021-05-10,24.2,11.1,63.4,0.0
2021-05-11,22.6,9.7,69.2,0.0
2021-05-12,22.2,9.9,66.7,0.0
2021-05-13,19.9,11.3,71.3,0.0
2021-05-14,21,11.2,68.5,0.0
2021-05-15,21.1,10.4,74.9,0.0
2021-05-16,20.4,10.9,80.7,0.9
2021-05-17,23,10.1,74.3,3.9
2021-05-18,19.4,10.2,83.9,0.0
2021-05-19,23,11.7,72.3,0.6
2021-05-20,21.4,10.2,78.7,0.0
2021-05-21,22.5,10.1,68.2,0.0
2021-05-22,21.7,10.4,73.8,0.3
2021-05-23,20.3,10.8,72.9,0.0
2021-05-24,21.2,10.6,70.2,0.0
2021-05-25,20.6,11.1,81.8,0.0
2021-05-26,22.3,9.6,72.6,0.0
2021-05-27,22.6,9.5,71.8,0.0
2021-05-28,21.3,10,73.3,0.0
2021-05-29,22,9.6,74.9,0.0
2021-05-30,20.7,10.2,75.8,0.0
2021-05-31,20.6,10.2,76.1,0.4
