AÑO / MES / DÍA,TEMPERATURA (°C) MAX, TEMPERATURA (°C) MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2022-01-01,22.7,10.8,77.7,0.0
2022-01-02,23,10.3,74.5,0.0
2022-01-03,23.2,9.7,77.8,0.0
2022-01-04,21.6,10.7,80.0,0.4
2022-01-05,22.2,11.1,68.0,0.0
2022-01-06,23.4,10.8,66.3,0.0
2022-01-07,22.7,11.6,73.4,0.2
2022-01-08,21.5,10.6,71.2,0.0
2022-01-09,17.5,11.4,77.5,0.0
2022-01-10,21,9.8,71.6,0.0
2022-01-11,24.4,9.6,68.2,0.0
2022-01-12,20.5,9.9,69.5,0.0
2022-01-13,22.3,10.4,66.1,0.0
2022-01-14,16,9.6,88.4,0.0
2022-01-15,17,10.4,91.4,3.8
2022-01-16,17.2,10.1,86.8,1.8
2022-01-17,22.1,10,71.0,0.0
2022-01-18,24.1,10.5,71.1,0.4
2022-01-19,23.8,10.8,72.5,0.0
2022-01-20,23.6,11.2,76.7,4.1
2022-01-21,23.3,12.7,72.4,1.5
2022-01-22,22.3,11.7,78.9,0.7
2022-01-23,22.8,11.1,76.1,0.2
2022-01-24,21.8,11.9,75.6,1.4
2022-01-25,21.7,11.9,78.2,16.0
2022-01-26,18.2,11.4,90.8,12.5
2022-01-27,20.2,11,83.8,0.5
2022-01-28,17,10.9,89.2,2.3
2022-01-29,16.7,10.2,90.5,0.0
2022-01-30,18.5,9.6,76.5,0.0
2022-01-31,20.5,7.7,72.8,0.0
