AÑO / MES / DÍA,TEMPERATURA (°C) MAX, TEMPERATURA (°C) MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2020-05-01,23.0,11.7,84.0,1.0
2020-05-02,22.2,11.2,79.0,0.9
2020-05-03,19.5,11.3,80.5,4.3
2020-05-04,19.6,11.7,87.3,4.8
2020-05-05,21.6,11.9,86.2,1.7
2020-05-06,22.0,11.2,83.6,3.8
2020-05-07,20.9,10.9,85.4,0.5
2020-05-08,23.3,11.5,86.7,4.4
2020-05-09,22.9,11.6,81.9,0.1
2020-05-10,23.7,11.1,81.7,0.4
2020-05-11,21.4,11.3,87.4,1.6
2020-05-12,21.1,10.4,88.9,0.0
2020-05-13,22.2,10.1,82.0,0.4
2020-05-14,22.8,9.6,81.4,3.0
2020-05-15,22.0,10.3,82.2,0.9
2020-05-16,23.3,10.5,75.9,1.5
2020-05-17,23.8,10.1,72.5,0.0
2020-05-18,23.0,10.2,74.1,0.0
2020-05-19,23.7,9.9,72.5,0.0
2020-05-20,22.8,9.7,77.3,0.0
2020-05-21,23.9,9.9,76.1,0.0
2020-05-22,24.2,11.0,70.3,0.0
2020-05-23,22.0,10.5,69.2,0.0
2020-05-24,24.7,10.6,77.0,0.1
2020-05-25,24.8,11.4,71.6,0.0
2020-05-26,24.7,11.8,65.4,0.0
2020-05-27,23.8,9.0,66.0,0.0
2020-05-28,21.2,8.3,76.8,0.0
2020-05-29,21.1,8.0,78.2,0.0
2020-05-30,21.4,8.5,79.2,0.0
2020-05-31,21.4,8.6,79.3,0.0
2020-06-01,22.1,10.2,82.5,0.0
2020-06-02,21.8,10.7,79.3,0.0
2020-06-03,22.3,11.4,71.4,0.0
2020-06-04,24.6,9.4,68.3,0.0
2020-06-05,21.6,9.9,70.6,0.7
2020-06-06,21.2,9.5,65.4,0.0
2020-06-07,23.8,8.8,67.3,0.0
2020-06-08,24.2,10.8,57.9,0.0
2020-06-09,22.5,10.8,67.3,0.0
2020-06-10,21.5,8.4,69.1,0.0
2020-06-11,21.2,8.5,75.6,0.0
2020-06-12,21.2,7.3,71.5,0.0
2020-06-13,22.9,8.3,69.5,0.0
2020-06-14,23.0,10.0,73.5,0.0
2020-06-15,23.2,9.8,71.7,0.0
2020-06-16,22.9,10.7,74.7,0.0
2020-06-17,23.4,10.5,72.3,0.0
2020-06-18,22.6,9.5,71.6,0.0
2020-06-19,22.9,8.5,67.8,0.0
2020-06-20,25.2,9.3,68.0,0.0
2020-06-21,24.1,10.4,69.9,0.0
2020-06-22,22.2,9.3,72.0,0.0
2020-06-23,22.4,9.3,70.9,0.0
2020-06-24,22.0,9.0,67.5,0.0
2020-06-25,22.4,8.8,68.7,0.0
2020-06-26,23.1,8.9,63.7,0.0
2020-06-27,22.6,8.8,63.8,0.0
2020-06-28,21.6,8.9,66.0,0.0
2020-06-29,22.2,8.7,67.2,0.0
2020-06-30,21.3,9.1,72.2,0.0
2020-07-01,20.9,8.1,74.6,0.0
2020-07-02,23.4,8.5,71.1,0.0
2020-07-03,21.8,8.1,73.0,0.0
2020-07-04,18.9,8.1,73.2,0.0
2020-07-05,19.9,8.3,81.4,0.2
2020-07-06,20.4,9.8,76.5,0.0
2020-07-07,21.9,8.6,78.8,0.0
2020-07-08,21.8,8.8,73.0,0.0
2020-07-09,20.7,8.9,79.7,0.0
2020-07-10,20.9,11.0,70.8,0.0
2020-07-11,21.4,10.2,70.9,0.0
2020-07-12,22.4,8.4,75.0,0.0
2020-07-13,22.1,8.4,58.7,0.0
2020-07-14,22.9,9.5,75.8,0.0
2020-07-15,22.7,8.9,68.9,0.0
2020-07-16,25.2,11.4,65.2,0.0
2020-07-17,25.4,10.3,55.0,0.0
2020-07-18,25.5,9.9,53.6,0.0
2020-07-19,25.9,10.0,53.5,0.0
2020-07-20,23.5,9.7,57.1,0.0
2020-07-21,S/D,8.9,S/D,0.0
2020-07-22,21.2,8.1,66.1,0.0
2020-07-23,20,8.5,65.2,0.0
2020-07-24,22.6,8.6,67.0,0.0
2020-07-25,22.4,8.9,65.8,0.1
2020-07-26,22.6,9.8,66.3,0.0
2020-07-27,21.9,8.3,66.2,0.0
2020-07-28,23.6,8.4,61.2,0.0
2020-07-29,24.8,9.3,56.4,0.0
2020-07-30,25.5,10.3,61.9,0.0
2020-07-31,24.6,10.1,65.2,0.0
2020-08-01,25.7,9.4,49.9,0.0
2020-08-02,25.7,10.5,50.2,0.0
2020-08-03,23.6,7.7,55.3,0.0
2020-08-04,23.4,7.6,56.1,0.0
2020-08-05,23.9,8.5,52.6,0.0
2020-08-06,22.4,8.5,48.6,0.0
2020-08-07,25.2,9.5,44.2,0.0
2020-08-08,25.2,9.9,51.1,0.0
2020-08-09,26.3,10.1,56.7,0.0
2020-08-10,25.7,10.8,61.3,0.0
2020-08-11,24.4,10.3,51.2,0.0
2020-08-12,23.3,10.1,57.0,0.0
2020-08-13,23.2,10.0,52.9,0.0
2020-08-14,22.9,10.3,56.5,0.0
2020-08-15,23.2,10.6,58.7,0.0
2020-08-16,22.4,9.8,57.0,0.0
2020-08-17,22.0,7.6,55.1,0.0
2020-08-18,21.5,8.2,60.1,0.0
2020-08-19,21.9,9.8,59.6,0.0
2020-08-20,18.6,10.0,62.2,0.2
2020-08-21,19.6,8.9,71.1,0.9
2020-08-22,22.7,9.1,63.5,0.0
2020-08-23,22.3,8.6,62.3,0.0
2020-08-24,22.1,9.0,59.0,0.0
2020-08-25,21.1,7.5,60.2,0.0
2020-08-26,23.3,8.2,55.9,0.0
2020-08-27,22.1,9.8,61.8,0.0
2020-08-28,22.7,8.5,59.1,0.0
2020-08-29,22.6,9.7,53.8,0.0
2020-08-30,20.9,9.8,55.0,0.0
2020-08-31,22.8,10.6,59.6,0.0
2020-09-01,23.0,11.1,63.1,0.0
2020-09-02,22.8,9.6,61.1,0.0
2020-09-03,22.8,10.0,54.7,0.0
2020-09-04,24.0,10.4,55.7,0.0
2020-09-05,25.5,10.8,53.4,0.0
2020-09-06,23.8,10.5,52.4,0.0
2020-09-07,22.4,9.7,63.8,0.0
2020-09-08,20.3,9.9,60.9,0.0
2020-09-09,23.1,9.8,59.0,0.0
2020-09-10,26.8,9.6,59.0,0.0
2020-09-11,24.5,10.6,55.7,0.0
2020-09-12,21.4,11.0,60.5,0.0
2020-09-13,22.7,10.5,60.0,0.0
2020-09-14,23.7,10.4,61.9,0.0
2020-09-15,20.2,11.4,61.6,0.0
2020-09-16,23.4,11.5,59.3,0.0
2020-09-17,22.1,9.8,59.6,0.0
2020-09-18,20.9,10.7,57.2,0.0
2020-09-19,22.8,10.7,63.4,0.0
2020-09-20,24.3,9.8,53.5,0.0
2020-09-21,23.5,10.7,60.0,0.0
2020-09-22,21.5,11.4,71.5,0.4
2020-09-23,23.7,10.9,65.5,2.0
2020-09-24,23.3,10.3,65.8,0.0
2020-09-25,21.8,10.8,61.3,0.0
2020-09-26,22.6,10.3,72.8,2.1
2020-09-27,22.0,9.0,69.2,0.3
2020-09-28,22.8,10.4,76.6,3.8
2020-09-29,23.0,11.0,71.1,1.6
2020-09-30,22.0,11.6,75.0,3.0
2020-10-01,22.5,11.6,68.5,0.0
2020-10-02,20.6,10.6,76.6,1.8
2020-10-03,23.7,10.0,71.2,0.0
2020-10-04,24.2,10.9,54.3,0.0
2020-10-05,25.2,11.0,55.9,0.0
2020-10-06,23.7,10.4,59.4,0.0
2020-10-07,25.6,11.2,51.5,0.0
2020-10-08,22.0,11.5,64.9,0.0
2020-10-09,26.6,12.7,53.4,0.0
2020-10-10,24.3,10.9,56.1,0.0
2020-10-11,24.6,9.7,64.2,0.0
2020-10-12,25.0,11.2,53.8,0.0
2020-10-13,25.9,11.5,53.2,0.0
2020-10-14,21.4,10.6,69.3,0.0
2020-10-15,21.4,11.5,66.6,0.0
2020-10-16,25.6,11.2,58.7,0.0
2020-10-17,24.4,13.0,61.7,0.0
2020-10-18,22.6,10.6,65.0,0.2
2020-10-19,24.6,10.9,67.7,0.0
2020-10-20,23.1,11.9,67.3,0.3
2020-10-21,23.8,12.4,64.9,0.1
2020-10-22,23.8,12.5,63.2,0.2
2020-10-23,23.2,11.9,71.2,4.5
2020-10-24,23.6,10.5,79.3,1.2
2020-10-25,22.4,10.9,66.8,0.0
2020-10-26,22.8,11.0,74.5,0.0
2020-10-27,23.3,10.9,72.5,0.0
2020-10-28,23.2,10.8,72.1,0.0
2020-10-29,22.0,10.6,73.6,0.0
2020-10-30,18.9,10.5,60.5,0.0
2020-10-31,22.3,10.0,48.7,0.0
2020-11-01,23.6,9.8,38.9,0.0
2020-11-02,23.1,9.4,40.8,0.0
2020-11-03,22.4,8.7,44.5,0.0
2020-11-04,24.0,9.9,42.6,0.0
2020-11-05,24.6,10.9,45.4,0.0
2020-11-06,21.8,12.2,56.7,0.6
2020-11-07,24.7,12.5,52.7,0.0
2020-11-08,27.3,11.5,48.2,0.0
2020-11-09,24.4,10.4,43.9,0.0
2020-11-10,23.5,10.9,47.1,0.0
2020-11-11,22.2,11.6,51.7,0.0
2020-11-12,19.8,10.8,63.7,0.6
2020-11-13,23.4,9.6,65.0,0.1
2020-11-14,23.3,9.6,66.2,0.1
2020-11-15,20.7,8.9,61.0,0.0
2020-11-16,21.5,9.2,66.1,0.7
2020-11-17,24.8,10.2,66.9,8.1
2020-11-18,20.1,10.3,80.3,1.7
2020-11-19,19.6,10.1,80.2,6.0
2020-11-20,19.7,10.5,78.5,0.9
2020-11-21,23.1,11,67.3,0.0
2020-11-22,23.6,10.5,62.1,0.0
2020-11-23,24.6,11.8,70.2,0.0
2020-11-24,26.4,10.6,60.6,0.0
2020-11-25,21.9,11.4,60.8,0.0
2020-11-26,23.9,11.5,68.2,1.1
2020-11-27,21.8,11.2,74.7,4.5
2020-11-28,22.4,10.9,72.3,0.0
2020-11-29,20.4,10.9,79.4,0.6
2020-11-30,21.2,S/D,81.1,9.9
2020-12-01,21.4,11.6,81.3,5.8
2020-12-02,17.5,S/D,92.7,4.7
2020-12-03,19.9,10.7,83.7,11.8
2020-12-04,18.8,10.6,83.6,17.3
2020-12-05,18.6,10.9,87.8,2.5
2020-12-06,21.7,12.3,85.9,6.3
2020-12-07,19.4,12.1,91.7,12.4
2020-12-08,16.7,11,95.4,12.6
2020-12-09,19.8,10.1,85.0,17.1
2020-12-10,20.4,11.4,82.4,2.9
2020-12-11,16.8,10.8,91.4,2.1
2020-12-12,17.2,10.7,92.8,8.7
2020-12-13,19.9,11.6,83.4,1.4
2020-12-14,21.9,11.7,77.0,5.2
2020-12-15,16.6,S/D,90.4,5.1
2020-12-16,20,9.7,83.3,3.6
2020-12-17,18.6,10.9,91.2,5.6
2020-12-18,17.7,11.6,89.7,4.4
2020-12-19,19.9,11.6,83.1,1.7
2020-12-20,S/D,11.8,S/D,2.0
2020-12-21,20.6,11.3,82.7,0.9
2020-12-22,19.2,12,82.9,0.8
2020-12-23,19.8,12,74.4,0.0
2020-12-24,22.4,11.1,73.2,9.8
2020-12-25,18.9,10.1,82.1,0.6
2020-12-26,15,10.9,87.6,0.0
2020-12-27,13.6,9.6,78.5,1.9
2020-12-28,17.8,9.3,88.2,2.6
2020-12-29,21.2,10.2,69.7,0.0
2020-12-30,20.9,10.1,73.9,0.0
2020-12-31,21,10.4,69.1,0.0
