AÑO / MES / DÍA,TEMPERATURA (°C) MAX, TEMPERATURA (°C) MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2021-06-01,21.6,10,73.6,0.0
2021-06-02,21.9,11,62.7,0.0
2021-06-03,22.8,10,58.4,0.0
2021-06-04,20.8,10.6,71.6,0.0
2021-06-05,23,9.8,61.9,0.0
2021-06-06,19.7,10.6,64.7,0.6
2021-06-07,21.1,11,71.7,0.1
2021-06-08,19.4,S/D,79.2,5.1
2021-06-09,19,9.2,76.3,0.0
2021-06-10,20.7,8.3,69.8,0.0
2021-06-11,22.8,9.8,65.6,0.0
2021-06-12,21.4,9.4,68.5,0.0
2021-06-13,20.9,9.5,66.8,0.0
2021-06-14,20.9,9.2,72.2,0.0
2021-06-15,19.7,8.4,74.9,0.0
2021-06-16,19.2,9.1,73.9,0.0
2021-06-17,20.8,9.3,72.2,0.0
2021-06-18,21.8,10.5,70.3,0.0
2021-06-19,20.5,9.7,72.0,0.2
2021-06-20,20.6,11,75.3,0.0
2021-06-21,21.9,9.7,70.0,0.0
2021-06-22,21.7,9.1,70.0,0.0
2021-06-23,21,8.9,70.4,0.0
2021-06-24,20.4,8.3,70.9,0.0
2021-06-25,21.5,8.6,65.6,0.0
2021-06-26,21.4,8.5,63.5,0.0
2021-06-27,22.9,8.3,59.3,0.0
2021-06-28,21.2,9.4,63.9,0.2
2021-06-29,21.5,11.3,68.0,1.1
2021-06-30,22.7,11.2,66.5,0.0
