AÑO / MES / DÍA,TEMPERATURA (°C) MAX, TEMPERATURA (°C) MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2023-04-01,22.2,10.6,81.7,0.2
2023-04-02,21.4,11.1,85.8,13.3
2023-04-03,20.9,10.1,87.5,2.9
2023-04-04,21.1,10.8,87.3,10.8
2023-04-05,21.2,11.9,83.5,0.1
2023-04-06,20,10.6,84.7,1.2
2023-04-07,18.7,10.9,87.6,4.1
2023-04-08,18.5,11,88.6,0.2
2023-04-09,22.2,9.6,88.0,1.0
2023-04-10,20.7,9.5,84.1,1.3
2023-04-11,18.9,9.9,84.3,0.6
2023-04-12,21.4,9.1,84.2,0.4
2023-04-13,21.8,9.7,81.4,0.4
2023-04-14,21.4,9.5,84.9,1.4
2023-04-15,20.4,9.8,87.0,10.1
2023-04-16,19.8,11.2,88.0,11.8
2023-04-17,15.7,10.9,94.9,9.9
2023-04-18,19.7,11.5,84.8,2.2
2023-04-19,16.6,10.8,96.5,5.1
2023-04-20,15.6,11.1,89.9,0.8
2023-04-21,16.6,11.6,94.2,2.2
2023-04-22,20.4,9.4,87.1,1.5
2023-04-23,20.2,9.7,84.9,0.0
2023-04-24,22.4,9.8,79.9,0.0
2023-04-25,20.3,10.2,85.0,0.3
2023-04-26,19.4,9,86.0,1.4
2023-04-27,20.7,9.6,84.1,0.3
2023-04-28,21.9,11,82.7,0.0
2023-04-29,22.4,9.3,82.6,2.2
2023-04-30,21,8.7,86.3,0.2
