AÑO / MES / DÍA,TEMPERATURA (°C) MAX, TEMPERATURA (°C) MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2022-12-01,22.1,8.9,78.7,0.0
2022-12-02,22.5,8.6,80.2,0.0
2022-12-03,23.6,9.1,69.1,0.0
2022-12-04,23.3,8.2,68.0,0.0
2022-12-05,23.7,7.9,73.0,0.0
2022-12-06,23.2,10,68.2,0.0
2022-12-07,23.1,9.2,68.4,0.0
2022-12-08,22.6,9.8,75.0,0.0
2022-12-09,22.6,10.8,78.8,3.2
2022-12-10,22.2,10.4,84.9,3.5
2022-12-11,22.5,11.4,81.5,0.6
2022-12-12,19.6,10.4,85.0,8.4
2022-12-13,20.2,10.3,78.0,0.0
2022-12-14,22.4,11.6,81.9,0.0
2022-12-15,22,11.5,76.4,2.5
2022-12-16,14.8,10.3,91.5,12.1
2022-12-17,20.2,9.9,86.4,4.1
2022-12-18,21.4,10.5,85.4,1.2
2022-12-19,22.2,11.6,81.3,0.0
2022-12-20,22.6,11.1,80.1,0.0
2022-12-21,20.4,10.8,87.6,4.0
2022-12-22,21,11.2,83.2,9.6
2022-12-23,23.1,11.3,79.8,0.0
2022-12-24,22,10.8,78.1,0.0
2022-12-25,21.9,10.2,84.9,1.5
2022-12-26,19.1,10.3,86.9,0.4
2022-12-27,22.3,10.4,81.5,0.0
2022-12-28,22.4,9.9,81.2,1.6
2022-12-29,19.4,10.3,89.7,3.4
2022-12-30,20.6,11.3,84.3,6.2
2022-12-31,20,10.4,86.9,1.7
