AÑO / MES / DÍA,TEMPERATURA (°C) MAX, TEMPERATURA (°C) MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2023-03-01,24.2,12.9,82.0,7.2
2023-03-02,20.2,11.1,90.3,9.6
2023-03-03,19.9,10.8,86.9,1.6
2023-03-04,21.9,11.2,78.6,1.1
2023-03-05,20.6,11.9,79.6,22.8
2023-03-06,19.3,10.7,86.5,7.3
2023-03-07,18.6,11.6,87.1,8.3
2023-03-08,17.2,10.8,88.9,9.1
2023-03-09,18.6,11.6,82.9,16.1
2023-03-10,16.1,11.2,93.9,15.2
2023-03-11,18.4,10.4,87.8,16.5
2023-03-12,18.5,11.1,91.5,16.6
2023-03-13,19.4,10.3,85.3,34.4
2023-03-14,18.9,8.8,87.2,5.9
2023-03-15,16.2,10.9,88.5,0.6
2023-03-16,19.3,9.9,84.1,5.1
2023-03-17,19.6,10.2,85.5,1.1
2023-03-18,18.1,9.6,85.9,0.6
2023-03-19,20,10.4,83.9,0.1
2023-03-20,20.4,8.9,80.0,0.0
2023-03-21,21.2,9.4,74.3,0.0
2023-03-22,22.5,9.3,69.7,0.0
2023-03-23,20.7,8.9,66.0,0.0
2023-03-24,18.6,10.4,80.4,0.0
2023-03-25,17.5,11.1,88.5,0.0
2023-03-26,21.2,11.3,74.0,0.4
2023-03-27,21.2,11.6,75.9,1.8
2023-03-28,19.5,10.9,85.0,5.1
2023-03-29,19.9,10.4,89.1,8.2
2023-03-30,18.4,10.9,89.6,4.2
2023-03-31,20.1,9.8,86.5,0.9
