AÑO / MES / DÍA,TEMPERATURA (°C) MAX, TEMPERATURA (°C) MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2021-01-01,17.7,10.1,70.1,0.0
2021-01-02,20.5,10.8,73.4,2.6
2021-01-03,19.8,10.9,83.4,2.1
2021-01-04,20.2,11.5,77.8,0.0
2021-01-05,16.3,10,82.3,2.2
2021-01-06,16.1,10.4,82.7,1.1
2021-01-07,19,10.1,82.2,9.4
2021-01-08,16,10.6,92.1,3.8
2021-01-09,19.2,11.1,85.3,4.0
2021-01-10,20.4,10.9,80.1,1.5
2021-01-11,21.4,10.7,75.7,0.4
2021-01-12,20.3,11,83.8,9.9
2021-01-13,19.8,11.3,87.1,7.4
2021-01-14,17.9,11.5,88.6,9.7
2021-01-15,18.2,10.7,85.8,2.0
2021-01-16,17.4,11.6,88.4,1.7
2021-01-17,20.4,11.3,81.1,0.0
2021-01-18,18.2,11.7,90.7,4.8
2021-01-19,18.6,11.3,91.4,9.3
2021-01-20,17.2,11.6,92.5,3.4
2021-01-21,20.6,11.3,83.7,2.8
2021-01-22,20.1,11.2,79.1,3.6
2021-01-23,19.2,11.2,84.0,0.0
2021-01-24,21.1,10.6,86.2,11.2
2021-01-25,17,11.3,92.2,3.1
2021-01-26,20.5,11.1,85.5,12.6
2021-01-27,20.4,10.6,84.1,3.8
2021-01-28,20.7,11.2,85.8,4.1
2021-01-29,21,11.1,86.0,8.1
2021-01-30,20.4,11.6,89.3,4.8
2021-01-31,22.2,10.6,69.9,0.0
