AÑO / MES / DÍA,TEMPERATURA (°C) MAX, TEMPERATURA (°C) MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2024-01-01,20.9,12.2,86.7,2.2
2024-01-02,20.0,11.7,88.4,1.8
2024-01-03,20.6,11.3,87.2,5.1
2024-01-04,18.5,12.0,88.4,2.4
2024-01-05,22.2,11.9,80.8,1.7
2024-01-06,23.6,11.3,85.0,1.9
2024-01-07,24.6,11.8,82.8,3.1
2024-01-08,22.6,11.6,88.4,4.7
2024-01-09,23.4,12.2,87.3,4.6
2024-01-10,18.2,12.4,90.7,2.7
2024-01-11,21.8,11.5,84.8,3.3
2024-01-12,21.0,11.8,84.1,3.7
2024-01-13,22.2,12.0,83.6,3.4
2024-01-14,21.8,13.0,80.8,3.4
2024-01-15,21.4,13.0,84.3,2.2
2024-01-16,24.5,13.1,79.5,2.1
2024-01-17,24.0,11.9,83.7,8.3
2024-01-18,21.8,12.8,84.6,2.7
2024-01-19,23.0,12.4,81.8,4.2
2024-01-20,21.9,13.5,88.8,1.8
2024-01-21,24.5,12.3,86.2,3.0
2024-01-22,21.8,13.0,85.0,1.9
2024-01-23,25.3,12.8,82.0,3.0
2024-01-24,24.2,13.1,86.0,3.6
2024-01-25,24.3,12.9,80.1,2.1
2024-01-26,25.0,12.2,81.7,3.2
2024-01-27,18.5,12.6,84.1,1.2
2024-01-28,21.4,13.0,81.0,1.0
2024-01-29,25.5,12.9,80.0,3.7
2024-01-30,25.5,13.0,84.4,4.8
2024-01-31,23.5,12.7,78.5,3.3
2024-02-01,22.6,13.4,80.0,19.4
2024-02-02,19.6,11.6,91.1,5.7
2024-02-03,20.5,11.6,88.5,1.6
2024-02-04,20.2,11.8,91.2,3.7
2024-02-05,22.1,12.5,84.4,0.0
2024-02-06,22.4,11.6,84.3,0.6
2024-02-07,23.9,11.6,84.8,0.5
2024-02-08,24.4,12.8,80.3,4.5
2024-02-09,23.9,12.4,82.0,7.0
2024-02-10,20.5,12.7,84.7,2.1
2024-02-11,22.8,12.5,84.2,4.2
2024-02-12,21.6,12.5,82.5,0.0
2024-02-13,19.9,13.4,88.2,2.9
2024-02-14,21.4,12.2,86.8,1.6
2024-02-15,23.7,13.0,82.0,0.6
2024-02-16,23.3,12.9,82.5,0.0
2024-02-17,19.8,12.1,84.1,0.0
2024-02-18,23.8,11.9,75.6,0.2
2024-02-19,23.6,12.8,75.9,0.0
2024-02-20,22.9,12.4,81.5,0.0
2024-02-21,22.1,10.6,77.8,0.0
2024-02-22,22.9,9.4,77.0,0.0
2024-02-23,23.4,8.2,71.0,0.0
2024-02-24,23.8,9.3,72.2,0.0
2024-02-25,23.2,10.1,76.2,0.0
2024-02-26,19.0,11.4,91.6,1.0
2024-02-27,23.8,12.1,84.3,2.7
2024-02-28,24.8,12.2,82.4,5.0
2024-02-29,22.6,12.8,82.7,14.0
2024-03-01,19.6,12.2,80.4,0.1
2024-03-02,21.0,12.4,82.6,4.5
2024-03-03,22.6,11.3,79.0,1.6
2024-03-04,22.9,11.9,86.8,0.4
2024-03-05,23.4,12.2,76.2,3.3
2024-03-06,23.3,12.6,78.6,0.1
2024-03-07,23.5,13.3,77.1,0.0
2024-03-08,25.2,12.5,73.7,2.1
